aether 4.29.8-1
alsa-utils 1.2.16-1
asdcontrol 1:0.6.0-2
base 3-3
base-devel 1-2
bash-completion 2.18.0-1
bat 0.26.1-2
bluez 5.87-2
bluez-tools 0.2.0-6
bluez-utils 5.87-2
bolt 0.9.11-3
brightnessctl 0.5.1-3
btop 1.4.7-1
btrfs-progs 7.1-1
chromium 152.0.7977.82-1
clang 22.1.8-1
cliamp 2.0.1-1
cups 2:2.4.19-1
cups-filters 2.0.1-2
cups-pk-helper 0.2.7-2
ddcutil 2.2.7-1
docker 1:29.7.2-1
docker-buildx 0.37.0-1
docker-compose 5.5.1-1
dosfstools 4.2-5
dotnet-runtime 10.0.11.sdk111-1
dua-cli 2.44.0-1
efibootmgr 18-4
evince 1:48.4-1
exfatprogs 1.4.3-1
expac 10-13
eza 0.23.5-2
fastfetch 2.68.1-1
fcitx5 5.1.22-1
fcitx5-gtk 5.1.7-1
fcitx5-qt 5.1.15-1
fd 10.5.0-3
ffmpegthumbnailer 2.3.1-1
foot 1.28.0-1
fzf 0.74.3-1
git 2.55.0-1
gnome-disk-utility 46.1-3
gnome-keyring 1:50.0-1
gnome-themes-extra 1:3.28-1
gpu-screen-recorder 6.1.0-1
grim 1.5.0-2
gst-plugin-pipewire 1:1.6.8-1
gvfs-mtp 1.60.2-4
gvfs-nfs 1.60.2-4
gvfs-smb 1.60.2-4
herdr 0.8.2-1
hyprland 0.56.2-2
hyprland-guiutils 0.2.2-3
hyprland-preview-share-picker 0.2.1-1
hyprpicker 0.4.7-4
hyprsunset 0.4.0-3
imagemagick 7.1.2.31-1
imv 5.0.1-2
inetutils 2.8-1
inotify-tools 4.25.9.0-1
intel-media-driver 26.2.4-1
intel-ucode 20260812-1
inxi 3.3.41.1-1
jq 1.8.2-1
kdenlive 26.08.0-1
kernel-modules-hook 0.1.7-3
lazydocker 0.25.2-1
lazygit 0.65.0-1
less 1:704-1
lib32-nvidia-580xx-utils 580.178.04-1.1
libpulse 17.0+r98+gb096704c0-1
libreoffice-fresh 26.8.0-2
libvips 8.18.6-1
libyaml 0.2.5-3
limine 12.8.0-1
linux 7.2.3.arch1-3
linux-firmware 20260810-2
linux-headers 7.2.3.arch1-3
llvm 22.1.8-2
localsend 1.18.2-1
lua51 5.1.5-13
luarocks 3.13.0-5
man-db 2.13.1-2
mariadb-libs 12.3.3-2
mise-bin 2026.9.4-1
mkinitcpio 41.1-1
moonlight-qt 6.1.0-7
mpv 1:0.41.0-6
mpv-mpris 1.2-2
nautilus 50.3.1-1
nautilus-python 4.1.0-3
networkmanager 1.58.1-1
noto-fonts 1:2026.09.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
nss-mdns 0.15.1-2
nvidia-580xx-dkms 580.178.04-1.1
nvidia-580xx-utils 580.178.04-1.1
obs-studio 32.2.2-1
obsidian 1.13.7-2
omacalc 0.2.2-1
omacut 0.4.0-1
omarchy 4.0.3-1
omarchy-keyring 20251027-1
omarchy-nvim 2026.8.13-1
omarchy-settings 4.0.3-1
omawrite 0.5.0-1
pacman-contrib 1.13.1-1
pamixer 1.6-4
pinta 3.1.2-2
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
plocate 1.1.25-1
postgresql-libs 18.6-1
power-profiles-daemon 0.30-1
python-gobject 3.56.3-1
python-poetry-core 2.4.1-1
qemu-user-static-binfmt 11.1.1-1
qrencode 4.1.1-4
qt6-imageformats 6.11.2-1
quickshell 0.3.1-1
ripgrep 15.2.0-1
ruby 3.4.10-1
sddm 0.21.0-7
slurp 1.5.0-2
socat 1.8.1.3-1
sof-firmware 2025.12.2-1
starship 1.26.0-1
sudo 1.9.17.p2-6
sushi 50.0-1
system-config-printer 1.5.18-7
tensaku 0.29.0-1
tesseract 5.5.3-1
tesseract-data-eng 2:4.1.0-5
thermald 2:2.5.12-1
tldr 3.4.4-1
tmux 3.7_c-1
tobi-try 1.8.1-3
tree-sitter-cli 0.26.9-1
ttf-ia-writer 20181225-1
ttf-jetbrains-mono-nerd-basic 3.5.1-1
ttfx 0.3.2-1
tzupdate 3.1.0-1
udiskie 2.7.0-2
ufw 0.36.2-7
ufw-docker 251123-1
usage 5.1.0-1
uwsm 0.26.7-1
voxtype-bin 1.0.1-1
vpl-gpu-rt 26.2.4-1
vulkan-intel 1:26.2.2-1
whois 5.6.6-1
wireless-regdb 2026.05.30-1
wireplumber 0.5.17-1
wl-clipboard 1:2.3.0-1
woff2-font-awesome 7.3.1-1
wtype 0.4-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.4.1-2
xdg-terminal-exec 0.14.3-1
xournalpp 1.3.7-1
yaru-icon-theme 26.04.5.1ubuntu-1
yay 13.0.1-1
yt-dlp 2026.08.19-1
zbar 0.23.93-7
zoxide 0.10.0-1
zram-generator 1.2.1-1
